player_defactions_stats_id,player_id,team_id,league_id,season_id,player_Tackles,player_Tackles_Att 3rd,player_Tackles_Def 3rd,player_Tackles_Mid 3rd,player_Tackles_TklW,player_Cha_Tkl_,player_Cha_Att,player_Cha_Tkl%_new,player_Cha_Lost,player_Blocks,player_Blocks_Clr,player_Blocks_Err,player_Blocks_Int,player_Blocks_Pass,player_Blocks_Sh,player_Blocks_Tkl+Int
11764,3335,PL_BRE_4,PL_1,3,0,0,0,0,0,0,0,NaN,0,0,1,0,1,0,0,1
11765,3335,PL_BRE_4,PL_1,3,0,0,0,0,0,0,0,NaN,0,0,1,0,1,0,0,1
11766,3339,BL_AUG_2,BL_1,3,44,2,31,11,23,22,33,0.6666666666666666,11,32,41,1,20,23,9,64
11767,3339,BL_AUG_2,BL_1,3,44,2,31,11,23,22,33,0.6666666666666666,11,32,41,1,20,23,9,64
11768,3339,BL_AUG_2,BL_1,3,44,2,31,11,23,22,33,0.6666666666666666,11,32,41,1,20,23,9,64
11769,3340,PL_BRE_4,PL_1,3,22,0,19,3,12,16,33,0.48484848484848486,17,14,38,0,9,9,5,31
11770,3342,L1_MON_11,L1_1,3,7,0,4,3,4,2,8,0.25,6,2,2,0,3,2,0,10
11771,3342,L1_MON_11,L1_1,3,7,0,4,3,4,2,8,0.25,6,2,2,0,3,2,0,10
11772,3350,L1_BRE_3,L1_1,3,63,7,18,38,36,25,43,0.5813953488372093,18,35,16,0,40,31,4,103
11773,3350,L1_BRE_3,L1_1,3,63,7,18,38,36,25,43,0.5813953488372093,18,35,16,0,40,31,4,103
11774,3350,L1_BRE_3,L1_1,3,63,7,18,38,36,25,43,0.5813953488372093,18,35,16,0,40,31,4,103
11775,3351,BL_BVB_4,BL_1,3,11,4,3,4,9,7,7,1,0,6,3,0,7,4,2,18
11776,3353,BL_FRA_5,BL_1,3,18,0,16,2,12,7,22,0.3181818181818182,15,22,45,0,17,13,9,35
11777,3353,BL_FRA_5,BL_1,3,18,0,16,2,12,7,22,0.3181818181818182,15,22,45,0,17,13,9,35
11778,3354,L1_MON_11,L1_1,3,6,0,5,1,3,1,5,0.2,4,11,29,2,15,4,7,21
11779,3355,PL_CRY_7,PL_1,3,1,0,1,0,1,0,1,0,1,2,0,0,0,2,0,1
11780,3359,SA_MIL_12,SA_1,3,31,0,22,9,26,11,20,0.55,9,11,65,1,12,6,5,43
11781,3359,BL_SCH_15,BL_1,3,3,0,2,1,1,1,2,0.5,1,4,24,1,9,1,3,12
11782,3362,L1_LYO_8,L1_1,3,42,8,23,11,26,21,43,0.4883720930232558,22,22,23,1,28,17,5,70
11783,3362,L1_LYO_8,L1_1,3,42,8,23,11,26,21,43,0.4883720930232558,22,22,23,1,28,17,5,70
11784,3363,L1_TRO_22,L1_1,3,46,11,14,21,21,13,28,0.4642857142857143,15,30,13,0,10,27,3,56
11785,3363,L1_TRO_22,L1_1,3,46,11,14,21,21,13,28,0.4642857142857143,15,30,13,0,10,27,3,56
11786,3363,L1_TRO_22,L1_1,3,46,11,14,21,21,13,28,0.4642857142857143,15,30,13,0,10,27,3,56
11787,3366,L1_REI_17,L1_1,3,2,0,2,0,0,0,1,0,1,1,0,0,1,1,0,3
11788,3366,L1_REI_17,L1_1,3,2,0,2,0,0,0,1,0,1,1,0,0,1,1,0,3
11789,3367,LL_VLR_20,LL_1,3,0,0,0,0,0,0,0,NaN,0,1,1,0,0,1,0,0
11790,3370,LL_CAD_6,LL_1,3,10,0,7,3,7,6,8,0.75,2,10,50,1,7,2,8,17
11791,3371,L1_MOP_12,L1_1,3,9,0,4,5,5,3,5,0.6,2,17,35,1,8,5,12,17
11792,3372,L1_LYO_8,L1_1,3,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0
11793,3372,L1_LYO_8,L1_1,3,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0
11794,3375,LL_CAD_6,LL_1,3,2,0,2,0,1,1,2,0.5,1,2,0,0,0,2,0,2
11795,3379,SA_SAP_16,SA_1,3,23,6,8,9,15,9,23,0.391304347826087,14,16,25,0,6,14,2,29
11796,3379,SA_SAP_16,SA_1,3,23,6,8,9,15,9,23,0.391304347826087,14,16,25,0,6,14,2,29
11797,3382,PL_FUL_9,PL_1,3,20,2,12,6,12,9,16,0.5625,7,8,3,0,5,8,0,25
11798,3383,LL_SEV_17,LL_1,3,7,1,3,3,4,5,8,0.625,3,0,2,0,0,0,0,7
11799,3383,LL_SEV_17,LL_1,3,7,1,3,3,4,5,8,0.625,3,0,2,0,0,0,0,7
11800,3386,BL_GLA_7,BL_1,3,74,4,37,33,39,24,47,0.5106382978723404,23,44,21,0,32,32,12,106
11801,3387,LL_VLR_20,LL_1,3,3,0,2,1,2,3,3,1,0,3,2,0,1,1,2,4
11802,3387,LL_MAL_22,LL_1,3,22,2,12,8,9,13,24,0.5416666666666666,11,10,9,0,5,5,5,27
11803,3388,LL_OSA_14,LL_1,3,51,7,35,9,35,33,63,0.5238095238095238,30,33,51,0,14,28,5,65
11804,3388,LL_OSA_14,LL_1,3,51,7,35,9,35,33,63,0.5238095238095238,30,33,51,0,14,28,5,65
11805,3389,LL_VLR_20,LL_1,3,20,6,9,5,14,9,22,0.4090909090909091,13,9,4,0,5,7,2,25
11806,3389,LL_VLR_20,LL_1,3,20,6,9,5,14,9,22,0.4090909090909091,13,9,4,0,5,7,2,25
11807,3390,LL_GIR_25,LL_1,3,4,1,1,2,1,1,6,0.16666666666666666,5,2,3,0,1,2,0,5
11808,3390,LL_GIR_25,LL_1,3,4,1,1,2,1,1,6,0.16666666666666666,5,2,3,0,1,2,0,5
11809,3391,PL_MCI_13,PL_1,3,36,3,15,18,25,23,36,0.6388888888888888,13,27,33,1,16,18,9,52
11810,3391,PL_MCI_13,PL_1,3,36,3,15,18,25,23,36,0.6388888888888888,13,27,33,1,16,18,9,52
11811,3392,SA_SAP_16,SA_1,3,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0
11812,3395,BL_FRE_6,BL_1,3,14,0,10,4,8,2,4,0.5,2,5,25,0,19,4,1,33
11813,3396,PL_WES_19,PL_1,3,2,0,1,1,2,2,6,0.3333333333333333,4,2,0,0,2,2,0,4
11814,3397,SA_LAZ_11,SA_1,3,33,6,13,14,21,21,36,0.5833333333333334,15,20,36,1,18,14,6,51
11815,3398,SA_JUV_10,SA_1,3,59,10,26,23,33,30,53,0.5660377358490566,23,50,59,0,27,28,22,86
11816,3399,BL_BAY_3,BL_1,3,0,0,0,0,0,0,0,NaN,0,0,4,1,0,0,0,0
11817,3401,LL_VLD_19,LL_1,3,0,0,0,0,0,0,0,NaN,0,2,0,0,2,2,0,2
11818,3403,BL_BOC_20,BL_1,3,3,0,3,0,2,3,5,0.6,2,1,23,7,5,1,0,8
11819,3405,SA_ROM_15,SA_1,3,4,0,2,2,4,2,3,0.6666666666666666,1,2,6,0,4,1,1,8
11820,3406,PL_LEI_11,PL_1,3,4,2,0,2,1,1,8,0.125,7,6,5,0,1,4,2,5
11821,3406,PL_LEI_11,PL_1,3,4,2,0,2,1,1,8,0.125,7,6,5,0,1,4,2,5
11822,3406,PL_LEI_11,PL_1,3,4,2,0,2,1,1,8,0.125,7,6,5,0,1,4,2,5
11823,3412,PL_CHE_6,PL_1,3,66,11,40,15,33,30,60,0.5,30,28,48,1,16,20,8,82
11824,3412,PL_CHE_6,PL_1,3,66,11,40,15,33,30,60,0.5,30,28,48,1,16,20,8,82
11825,3412,PL_CHE_6,PL_1,3,66,11,40,15,33,30,60,0.5,30,28,48,1,16,20,8,82
11826,3414,PL_CRY_7,PL_1,3,52,2,39,11,27,26,42,0.6190476190476191,16,45,134,3,45,21,24,97
11827,3418,PL_LEE_24,PL_1,3,66,5,27,34,40,20,66,0.30303030303030304,46,34,24,2,23,24,10,89
11828,3420,LL_BAR_4,LL_1,3,0,0,0,0,0,0,0,NaN,0,0,7,3,1,0,0,1
11829,3421,LL_SEV_17,LL_1,3,2,0,1,1,2,1,1,1,0,3,14,0,6,0,3,8
11830,3423,BL_LEI_14,BL_1,3,40,5,20,15,21,23,41,0.5609756097560976,18,22,29,0,21,21,1,61
11831,3426,PL_MUN_14,PL_1,3,12,1,3,8,8,2,11,0.18181818181818182,9,6,11,0,8,4,2,20
11832,3426,BL_BAY_3,BL_1,3,27,6,11,10,14,10,17,0.5882352941176471,7,3,9,0,10,3,0,37
11833,3426,PL_MUN_14,PL_1,3,12,1,3,8,8,2,11,0.18181818181818182,9,6,11,0,8,4,2,20
11834,3426,BL_BAY_3,BL_1,3,27,6,11,10,14,10,17,0.5882352941176471,7,3,9,0,10,3,0,37
11835,3426,PL_MUN_14,PL_1,3,12,1,3,8,8,2,11,0.18181818181818182,9,6,11,0,8,4,2,20
11836,3426,BL_BAY_3,BL_1,3,27,6,11,10,14,10,17,0.5882352941176471,7,3,9,0,10,3,0,37
11837,3428,BL_FRA_5,BL_1,3,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0
11838,3430,SA_INT_9,SA_1,3,37,2,13,22,22,11,37,0.2972972972972973,26,23,28,0,22,16,7,59
11839,3433,L1_NIC_14,L1_1,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
11840,3434,BL_SCH_15,BL_1,3,6,2,4,0,4,2,4,0.5,2,8,28,0,9,1,7,15
11841,3435,SA_LEC_25,SA_1,3,0,0,0,0,0,0,0,NaN,0,0,2,0,3,0,0,3
11842,3435,SA_LEC_25,SA_1,3,0,0,0,0,0,0,0,NaN,0,0,2,0,3,0,0,3
11843,3436,LL_RMA_15,LL_1,3,16,2,8,6,10,8,19,0.42105263157894735,11,8,4,0,5,5,3,21
11844,3436,LL_RMA_15,LL_1,3,16,2,8,6,10,8,19,0.42105263157894735,11,8,4,0,5,5,3,21
11845,3436,LL_RMA_15,LL_1,3,16,2,8,6,10,8,19,0.42105263157894735,11,8,4,0,5,5,3,21
11846,3437,SA_FIR_6,SA_1,3,3,1,2,0,3,3,4,0.75,1,0,1,0,1,0,0,4
11847,3437,SA_CRM_24,SA_1,3,26,6,9,11,15,15,24,0.625,9,13,19,0,12,12,1,38
11848,3437,SA_FIR_6,SA_1,3,3,1,2,0,3,3,4,0.75,1,0,1,0,1,0,0,4
11849,3437,SA_CRM_24,SA_1,3,26,6,9,11,15,15,24,0.625,9,13,19,0,12,12,1,38
11850,3437,SA_FIR_6,SA_1,3,3,1,2,0,3,3,4,0.75,1,0,1,0,1,0,0,4
11851,3437,SA_CRM_24,SA_1,3,26,6,9,11,15,15,24,0.625,9,13,19,0,12,12,1,38
