player_shooting_stats_id,player_id,team_id,league_id,season_id,player_shooting_FK,player_shooting_G/Sh_new,player_shooting_Gls,player_shooting_G/SoT_new,player_shooting_PK,player_shooting_Sh,player_shooting_Sh/90_new,player_shooting_SoT,player_shooting_SoT/90_new,player_shooting_SoT%
2174,2809,SA_ROM_15,SA_1,1,0,0,0,NaN,0,1,0.38,0,0,0
2174,2809,SA_ROM_15,SA_1,1,0,0,0,NaN,0,1,4.76,0,0,0
2175,2809,BL_LEI_14,BL_1,1,0,0.17,3,0.42857142857142855,0,18,0.85,7,0.33,0.39
2175,2809,BL_LEI_14,BL_1,1,0,0.17,3,0.42857142857142855,0,18,0.87,7,0.34,0.39
2175,2809,BL_LEI_14,BL_1,1,0,0.17,3,0.42857142857142855,0,18,1.12,7,0.44,0.39
2175,2809,BL_LEI_14,BL_1,1,0,0.17,3,0.42857142857142855,0,18,1.99,7,0.78,0.39
2175,2809,BL_LEI_14,BL_1,1,0,0.17,3,0.42857142857142855,0,18,6.92,7,2.69,0.39
2175,2809,BL_LEI_14,BL_1,1,0,0.17,3,0.42857142857142855,0,18,85.71,7,33.33,0.39
2176,2809,SA_ROM_15,SA_1,1,0,0,0,NaN,0,1,0.05,0,0,0
2176,2809,SA_ROM_15,SA_1,1,0,0,0,NaN,0,1,0.06,0,0,0
2176,2809,SA_ROM_15,SA_1,1,0,0,0,NaN,0,1,0.11,0,0,0
2176,2809,SA_ROM_15,SA_1,1,0,0,0,NaN,0,1,0.38,0,0,0
2176,2809,SA_ROM_15,SA_1,1,0,0,0,NaN,0,1,4.76,0,0,0
2177,2809,BL_LEI_14,BL_1,1,0,0.17,3,0.42857142857142855,0,18,0.85,7,0.33,0.39
2177,2809,BL_LEI_14,BL_1,1,0,0.17,3,0.42857142857142855,0,18,0.87,7,0.34,0.39
2177,2809,BL_LEI_14,BL_1,1,0,0.17,3,0.42857142857142855,0,18,1.12,7,0.44,0.39
2177,2809,BL_LEI_14,BL_1,1,0,0.17,3,0.42857142857142855,0,18,1.99,7,0.78,0.39
2177,2809,BL_LEI_14,BL_1,1,0,0.17,3,0.42857142857142855,0,18,6.92,7,2.69,0.39
2177,2809,BL_LEI_14,BL_1,1,0,0.17,3,0.42857142857142855,0,18,85.71,7,33.33,0.39
2178,2809,SA_ROM_15,SA_1,1,0,0,0,NaN,0,1,0.05,0,0,0
2178,2809,SA_ROM_15,SA_1,1,0,0,0,NaN,0,1,0.06,0,0,0
2178,2809,SA_ROM_15,SA_1,1,0,0,0,NaN,0,1,0.11,0,0,0
2178,2809,SA_ROM_15,SA_1,1,0,0,0,NaN,0,1,0.38,0,0,0
2178,2809,SA_ROM_15,SA_1,1,0,0,0,NaN,0,1,4.76,0,0,0
