player_Misc_stats_id,player_id,team_id,league_id,season_id,player_Misc_perform_2CrdY,player_Misc_perform_CrdR,player_Misc_perform_CrdY,player_Misc_perform_Crs,player_Misc_perform_Fld,player_Misc_perform_Int,player_Misc_perform_Fls,player_Misc_perform_Off,player_Misc_perform_OG,player_Misc_perform_PKcon,player_Misc_perform_PKwon,player_Misc_perform_Recov,player_Misc_perform_TklW,player_Misc_aeriald_won%_new,player_Misc_aeriald_Won,player_Misc_aeriald_Lost
11512,3311,BL_WOL_19,BL_1,2,0,0,5,21,29,4,31,6,0,0,1,47,5,0.51,33,32
11513,3311,BL_WOL_19,BL_1,2,0,0,5,21,29,4,31,6,0,0,1,47,5,0.51,33,32
11514,3313,PL_NOR_25,PL_1,2,0,0,0,3,8,9,7,0,0,0,0,55,4,0.33,5,10
11515,4285,SA_VEN_23,SA_1,2,0,0,3,46,6,21,22,0,0,0,0,74,8,0.52,11,10
11516,4285,SA_VEN_23,SA_1,2,0,0,3,46,6,21,22,0,0,0,0,74,8,0.52,11,10
11517,4285,SA_SAL_22,SA_1,2,0,0,2,79,7,11,18,1,0,0,0,62,19,0.55,11,9
11518,4285,SA_SAL_22,SA_1,2,0,0,2,79,7,11,18,1,0,0,0,62,19,0.55,11,9
11519,4285,SA_SAL_22,SA_1,3,0,0,2,90,17,10,27,5,0,0,1,129,18,0.46,12,14
11520,4285,SA_SAL_22,SA_1,3,0,0,2,90,17,10,27,5,0,0,1,129,18,0.46,12,14
11521,5506,L1_NAN_13,L1_1,2,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,0
11522,3922,L1_REI_17,L1_1,2,0,0,0,0,0,1,0,0,0,0,0,4,6,1,1,0
11523,3323,PL_FUL_9,PL_1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,NaN,0,0
11524,3323,PL_FUL_9,PL_1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,NaN,0,0
11525,5055,PL_LEE_24,PL_1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,NaN,0,0
11526,4204,LL_ESP_21,LL_1,2,0,0,0,4,37,1,9,0,0,0,0,56,5,0.29,6,15
11527,3340,PL_BRE_4,PL_1,2,0,0,1,35,8,16,18,2,0,1,0,54,12,0.32,12,25
11528,4134,L1_PSG_16,L1_1,2,0,0,3,39,24,21,19,1,0,0,0,109,29,0.48,10,11
11529,4134,L1_PSG_16,L1_1,3,0,0,2,30,34,17,25,5,0,0,0,98,30,0.62,10,6
11530,3345,SA_TOR_19,SA_1,2,0,0,0,5,0,0,1,1,0,0,0,3,1,0.33,1,2
11531,5226,LL_ALA_1,LL_1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
